اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1460.json,1,1851,673,38.77,65.09,38.77
1461.json,1,2469,700,62.01,51.1,62.01
1462.json,1,3664,718,80.14,54.68,80.14
1463.json,1,1225,544,38.75,45.65,38.75
1464.json,1,1228,640,43.15,43.3,43.15
1465.json,1,3792,688,43.03,104.12,43.03
1466.json,1,2761,759,48.19,73.05,48.19
1467.json,1,1454,675,41.85,50.87,41.85
1468.json,1,2599,818,45.94,74.38,45.94
1469.json,1,2194,739,42.77,68.58,42.77
1470.json,1,1591,671,50.8,44.53,50.8
1471.json,1,1584,692,50.61,44.97,50.61
1472.json,1,3018,832,49.05,78.49,49.05
1473.json,1,1701,626,37.04,62.82,37.04
1474.json,1,2679,762,45.38,75.82,45.38
1476.json,1,1598,686,48.41,47.18,48.41
1477.json,1,1503,689,54.85,39.96,54.85
1478.json,1,2386,852,38.2,84.77,38.2
1479.json,1,1590,582,32.27,67.31,32.27
1480.json,1,1573,653,38.63,57.63,38.63
1481.json,1,3963,849,40.62,118.45,40.62
1483.json,1,1250,603,43.16,42.94,43.16
1484.json,1,997,576,46.52,33.81,46.52
1485.json,1,1825,804,53.86,48.81,53.86
1486.json,1,1445,831,40.84,55.73,40.84
1487.json,1,2089,602,45.31,59.39,45.31
1488.json,1,1323,634,60.84,32.17,60.84
1489.json,1,1752,664,63.7,37.93,63.7
1490.json,1,1695,762,67.25,36.54,67.25
1491.json,1,1538,776,63.87,36.23,63.87
1492.json,1,1617,793,50.63,47.6,50.63
1493.json,1,1892,595,41.65,59.71,41.65
1494.json,1,1682,749,49.79,48.83,49.79
1495.json,1,2667,826,50.47,69.21,50.47
1496.json,1,2561,975,45.56,77.61,45.56
1497.json,1,1467,574,47.41,43.05,47.41
1498.json,1,2314,668,34.1,87.45,34.1
1499.json,1,2052,769,54.32,51.93,54.32
1500.json,1,1612,767,42.67,55.76,42.67
1501.json,1,1736,694,41.91,57.98,41.91
1502.json,1,1677,727,46.38,51.83,46.38
1503.json,1,1604,773,60.15,39.52,60.15
1504.json,1,1562,713,43.71,52.05,43.71
1505.json,1,1315,608,39.9,48.2,39.9
1506.json,1,1600,718,37.0,62.65,37.0
1507.json,1,1568,627,39.21,55.98,39.21
1508.json,1,1652,566,44.07,50.32,44.07
1509.json,1,1524,671,34.45,63.72,34.45
1510.json,1,1618,746,37.9,62.37,37.9
1511.json,1,1756,604,38.58,61.18,38.58
1512.json,1,1552,608,58.23,37.09,58.23
1513.json,1,2567,674,43.38,74.71,43.38
1514.json,1,1488,643,37.27,57.18,37.27
1515.json,1,2127,901,55.22,54.83,55.22
1517.json,1,1489,559,41.45,49.41,41.45
1518.json,1,3256,844,40.83,100.42,40.83
1519.json,1,2084,728,54.76,51.35,54.76
1520.json,1,1436,732,54.82,39.55,54.82
1521.json,1,1425,571,40.74,48.99,40.74
1522.json,1,1754,711,35.79,68.88,35.79
1523.json,1,1569,677,44.08,50.95,44.08
1524.json,1,1778,725,56.91,43.98,56.91
1525.json,1,1752,603,44.06,53.45,44.06
1526.json,1,1793,728,64.91,38.84,64.91
1527.json,1,1628,646,36.1,62.99,36.1
1528.json,1,1767,643,52.8,45.65,52.8
